block_date,arbitrage_transaction_count,arbitrage_amount,arbitrage_average_amount,arbitrage_bots_count
2023-04-27,12650,257459800.8,20355.77172,144
2023-04-28,11102,120401799.2,10847.00893,128
2023-04-29,12576,85281132.54,6782.878592,99
2023-04-30,21579,118151987.1,5475.576377,137
2023-05-01,24369,220704798.3,9056.785191,173
2023-05-02,22729,188954271.4,8313.7219,164
2023-05-03,23250,188228674.2,8096.205178,153
2023-05-04,23527,206790369.2,8789.491612,162
2023-05-05,36704,433401489.1,11808.66136,232
2023-05-06,30941,474806983.4,15346.05635,189
2023-05-07,24364,194667776.7,7989.976058,149
2023-05-08,32839,338698324.4,10314.53313,194
2023-05-09,27958,205298977,7343.121002,171
2023-05-10,27105,296525231.7,10940.27567,196
2023-05-11,30896,345741328.9,11191.57508,211
2023-05-12,22739,313511958.6,13792.26425,193
2023-05-13,25810,206213972.5,7990.312017,156
2023-05-14,19609,97523242.36,4973.899238,151
2023-05-15,17391,178153492.8,10246.95116,160
2023-05-16,20353,119832467.7,5889.152136,185
2023-05-17,18422,225814241,12258.52239,175
2023-05-18,20738,207416016,10003.66625,170
2023-05-19,22782,110976629,4874.02297,187
2023-05-20,19230,102663739.6,5340.672093,173
2023-05-21,27906,137368383.8,4929.251606,182
2023-05-22,29252,181257478.2,6213.405946,206
2023-05-23,39531,289850116,7359.96435,223
2023-05-24,36759,280958164.9,7687.795241,224
2023-05-25,30913,172210844.2,5604.1799,205
2023-05-26,28306,171337774.2,6093.309655,185
2023-05-27,26816,111303924.7,4200.465119,191
2023-05-28,22821,240944427.8,10694.85676,166
2023-05-29,22632,210009131.4,9334.154024,172
2023-05-30,22774,280834523.4,12341.6622,184
2023-05-31,19884,217871399.4,10959.32592,198
2023-06-01,22567,198466979,8819.970625,178
2023-06-02,17867,160553153.7,9040.664098,167
2023-06-03,16128,106496711.7,6613.470265,140
2023-06-04,17437,83870779.06,4818.221351,150
2023-06-05,21412,324524354.6,15180.29538,197
2023-06-06,18818,258467457.4,13788.60802,183
2023-06-07,18344,226383343.8,12406.60622,176
2023-06-08,16071,132042516.2,8252.657264,179
2023-06-09,15278,87510307.55,5780.836805,166
2023-06-10,21936,450526086.1,20611.4963,212
2023-06-11,12117,100233977.5,8300.950516,165
2023-06-12,16254,205836105.6,12774.53644,173
2023-06-13,16654,166228154.5,10069.5514,158
2023-06-14,16363,188556391.3,11604.18434,211
2023-06-15,17186,365832169.7,21386.19021,186
2023-06-16,14285,205917743.6,14539.13321,154
2023-06-17,13922,93839561.72,6842.610597,155
2023-06-18,10377,59135031.83,5786.206637,122
2023-06-19,14044,194614077.3,13985.92004,155
2023-06-20,14478,292675272.2,20357.18663,146
2023-06-21,17651,380240810.1,21708.19879,183
2023-06-22,18083,280971663.4,15646.9156,176
2023-06-23,18034,212878530,11914.62081,160
2023-06-24,11925,86792370.34,7336.633165,141
2023-06-25,16171,104522922.2,6575.836563,167
2023-06-26,14085,214363890,15367.68872,157
2023-06-27,20389,251844669.2,12420.82606,202
2023-06-28,17864,148188678.1,8339.730886,174
2023-06-29,14155,138129114.4,9892.509805,162
2023-06-30,16386,348108339.2,21387.83111,168
2023-07-01,12872,152262315.7,11902.00232,149
2023-07-02,14567,87868016.79,6067.395166,159
2023-07-03,18745,221724396.4,11877.24429,195
2023-07-04,14746,163401246.3,11136.94427,161
2023-07-05,9886,173100222.6,17595.06227,130
2023-07-06,14308,180737571.7,12680.66875,164
2023-07-07,13614,146704107.9,10826.87143,155
2023-07-08,18159,124737161.9,6894.98435,168
2023-07-09,13230,71585184.96,5430.525334,139
2023-07-10,14116,174833968,12422.47889,179
2023-07-11,11445,132505248.3,11638.58132,150
2023-07-12,12235,166226451.2,13636.29625,165
2023-07-13,14572,323538809.1,22280.75264,162
2023-07-14,17306,224183424.6,12990.8689,175
2023-07-15,11608,105539764,9121.058167,148
2023-07-16,14037,61678900.87,4437.969555,153
2023-07-17,24196,167147741.2,7084.332509,163
2023-07-18,20588,111638358,5451.091699,176
2023-07-19,17536,118798600.2,6781.903307,161
2023-07-20,17403,148284263.6,8548.614299,152
2023-07-21,14398,126269943.7,8907.932533,166
2023-07-22,14709,165668161.5,11307.63507,150
2023-07-23,13190,69976931.57,5324.273877,144
2023-07-24,16136,156598478.2,9755.698868,178
2023-07-25,11415,88362694.34,7781.146032,160
2023-07-26,12851,195553216,15276.40153,155
2023-07-27,12544,138927507.4,11129.33649,141
2023-07-28,13853,77499374.33,5628.949327,150
2023-07-29,11111,75518217.5,6819.416426,141
2023-07-30,14962,157626729,10569.75317,173
2023-07-31,14859,206511947,13945.02985,162
2023-08-01,15884,242106783.9,15303.84222,179
2023-08-02,14941,157045659.2,10537.85541,166
2023-08-03,12480,109537694,8818.040089,136
2023-08-04,13337,115809564.4,8714.693684,157
2023-08-05,19878,72411514.93,3653.456858,151
2023-08-06,17989,94524691.42,5270.991547,161
2023-08-07,14861,158159296.6,10681.38695,148
2023-08-08,16550,259655957.4,15732.91065,158
2023-08-09,15671,172394848.8,11024.80327,152
2023-08-10,14188,101832509.9,7195.118342,161
2023-08-11,14683,117866292,8055.378077,173
2023-08-12,15164,72359753.37,4784.748619,156
2023-08-13,15597,73595297.7,4738.301423,163
2023-08-14,15953,119887389.3,7529.196087,169
2023-08-15,16504,140424156.1,8525.021618,175
2023-08-16,16744,127067092.8,7616.561339,180
2023-08-17,20708,538381472.4,26061.64548,198
2023-08-18,18269,300650123.4,16486.62664,171
2023-08-19,13997,114737840,8216.100251,158
2023-08-20,15870,96141317.65,6069.52763,140
2023-08-21,14704,135587912.2,9238.751174,153
2023-08-22,16020,248753441.5,15551.95008,186
2023-08-23,16076,171675085.4,10706.27286,174
2023-08-24,14253,128185437.3,9070.580053,168
2023-08-25,15577,125707648.7,8131.680493,177
2023-08-26,12047,59587793.45,4983.507021,139
2023-08-27,17389,74565597.91,4304.179053,144
2023-08-28,15952,144619114.7,9117.90648,158
2023-08-29,16050,263516052.4,16642.41836,165
2023-08-30,12529,120915791.2,9752.846525,154
2023-08-31,11907,190613855.3,16088.27273,153
2023-09-01,15513,229285692,14828.02121,163
2023-09-02,17118,92880689.17,5444.035471,158
2023-09-03,14399,71566737.64,5006.067267,141
2023-09-04,14609,109196329.2,7540.141501,157
2023-09-05,14130,130892319.4,9326.800586,162
2023-09-06,17054,161926127.4,9554.854982,167
2023-09-07,13773,97830607.95,7147.180593,142
2023-09-08,14188,87058448.9,6168.670652,158
2023-09-09,14120,60797589.11,4319.544519,141
2023-09-10,13679,143166413.9,10535.46353,161
2023-09-11,16289,306667340.9,18939.43558,175
2023-09-12,14187,199281011.4,14128.39499,162
2023-09-13,11578,162274173,14097.31327,157
2023-09-14,16886,116860523.3,6940.285265,142
2023-09-15,16151,143654068,8933.15515,163
2023-09-16,13819,63184822.03,4613.714643,139
2023-09-17,11307,50775093.23,4520.57454,145
2023-09-18,14797,143925969.1,9775.587112,149
2023-09-19,14170,153594155.4,10893.97513,160
2023-09-20,13069,75448041.91,5801.018138,162
2023-09-21,12333,133261267.6,10861.62423,159
2023-09-22,15817,76589744.04,4862.840892,170
2023-09-23,14408,130943755.2,9128.81729,152
2023-09-24,15889,72893828.5,4603.045498,151
2023-09-25,15700,162804073.5,10425.46577,168
2023-09-26,14434,77796793.31,5411.950839,170
2023-09-27,14605,89173560.61,6141.00686,167
2023-09-28,15470,131756686.3,8557.851798,167
2023-09-29,18402,143156195,7807.384109,179
2023-09-30,15127,83937072.62,5564.273956,156
2023-10-01,17814,113753256.7,6402.862588,177
2023-10-02,21001,243577989.8,11624.96969,169
2023-10-03,18585,102824547.3,5550.582852,164
2023-10-04,19902,114727252.7,5848.060591,171
2023-10-05,13729,121366547.5,8866.638479,168
2023-10-06,16913,134813917.8,7988.026179,154
2023-10-07,18447,73816278.37,4010.228629,154
2023-10-08,18560,162452072.8,8766.030259,144
2023-10-09,18786,159342088.6,8509.136421,175
2023-10-10,14054,105422447.7,7518.896492,150
2023-10-11,16715,106086920.4,6361.271238,162
2023-10-12,21272,107704243.1,5077.036067,194
2023-10-13,26795,82619837.83,3089.631571,172
2023-10-14,20532,60890033.41,2972.275379,164
2023-10-15,30381,90253937.06,2975.927758,178
2023-10-16,23732,286317993.9,12090.62091,188
2023-10-17,18881,133875156.1,7105.900003,167
2023-10-18,18126,217754860.2,12039.30228,174
2023-10-19,18684,93258174.13,5008.494851,183
2023-10-20,24556,249838999.8,10268.76284,188
2023-10-21,21272,142528849.8,6751.721923,169
2023-10-22,24518,140346231.8,5756.141078,172
2023-10-23,21994,335365265.3,15288.3509,177
2023-10-24,21635,464767655,21543.951,186
2023-10-25,20649,254209315,12339.659,179
2023-10-26,20205,233665294.5,11603.20263,182
2023-10-27,21802,140261586.1,6526.526736,182
2023-10-28,18996,91327126.29,4853.695062,167
2023-10-29,19740,76155025.79,3871.04284,163
2023-10-30,20234,144902590,7184.777371,169
2023-10-31,17572,148120730.8,8452.932192,169
2023-11-01,17716,223794929.5,12669.5499,182
2023-11-02,17172,295652080.5,17245.22168,172
2023-11-03,23416,258587008.6,11064.4392,198
2023-11-04,20907,134283351.4,6433.043568,149
2023-11-05,20997,180799952.1,8639.554267,170
2023-11-06,19363,259690652.6,13445.72086,157
2023-11-07,18419,218607822.1,11891.20007,175
2023-11-08,17221,169322184.9,9850.039845,175
2023-11-09,22939,548868706.6,23969.11248,194
2023-11-10,25146,372392140.9,14834.56722,189
2023-11-11,22056,286569948.3,13024.13073,187
2023-11-12,19071,192339490.5,10099.7422,168
2023-11-13,21512,267793973.1,12490.97314,173
2023-11-14,21387,349545712.3,16375.23247,199
2023-11-15,18935,327491572.7,17331.26443,180
2023-11-16,20001,297290004.8,14901.75463,180
2023-11-17,18487,307335794.4,16652.35124,181
2023-11-18,19164,259529563.4,13574.43189,177
2023-11-19,22315,185508837.4,8325.502083,174
2023-11-20,22508,246183685.7,10951.23157,196
2023-11-21,23415,310241771.8,13261.02893,193
2023-11-22,19310,451547670.9,23416.87865,177
2023-11-23,17206,227823219.2,13255.55473,176
2023-11-24,19038,259880330.6,13674.31363,183
2023-11-25,18026,193220027.9,10739.21898,176
2023-11-26,17264,134105481.1,7787.322519,166
2023-11-27,18660,227131554.2,12197.6024,161
2023-11-28,17963,284007006,15844.18444,182
2023-11-29,16878,286544054.1,17003.56362,172
2023-11-30,19487,225944373.3,11617.87193,199
2023-12-01,17926,227239423.9,12745.49464,193
2023-12-02,20398,205901441.5,10141.92895,177
2023-12-03,20647,196785875.8,9585.28377,176
2023-12-04,24676,409053562.8,16655.27536,208
2023-12-05,25523,399174374,15778.26689,216
2023-12-06,24052,351793057,14697.85072,201
2023-12-07,22894,318177821.5,13961.29098,206
2023-12-08,21565,269597716.2,12538.26231,204
2023-12-09,23124,400703660,17402.22618,195
2023-12-10,21751,176419506.1,8137.055766,185
2023-12-11,24466,386982823.9,15873.61352,207
2023-12-12,21674,262537856.3,12150.59269,190
2023-12-13,26126,363938548.2,13957.37481,206
2023-12-14,26205,273984406.3,10507.95452,194
2023-12-15,33007,350508055.2,10673.20509,227
2023-12-16,29525,685950910.3,23351.52035,192
2023-12-17,24648,326457442,13329.14592,219
2023-12-18,24166,365200986.7,15157.34153,193
2023-12-19,24301,288803917.9,11924.19149,198
2023-12-20,23852,447021526.9,18801.37647,217
2023-12-21,25483,313636104.9,12361.99223,204
2023-12-22,25164,342237653.2,13662.72718,195
2023-12-23,26092,245894139.3,9459.649892,191
2023-12-24,25100,237692694.3,9503.526221,198
2023-12-25,22370,260656836.8,11701.76596,187
2023-12-26,29505,316574380.6,10774.79938,194
2023-12-27,28383,359405661.5,12698.50057,200
2023-12-28,31600,576846176.2,18317.81068,204
2023-12-29,26273,374198925.5,14285.67326,191
2023-12-30,22999,214513394.4,9361.673839,182
2023-12-31,23592,213078347.6,9063.307001,173
